race_name,race_date,course,distance,surface,grade,horse_no,frame_no,horse_reg,horse_name,sex,birth_year,jockey,weight,career_starts,career_win_rate,jockey_win_rate,condition_aptitude
サンプルステークス,2026-06-14,東京,2000,TURF,G2,1,1,2021100001,アサヒノキセキ,牡,2021,田中 一郎,57.0,12,0.33,0.21,0.80
サンプルステークス,2026-06-14,東京,2000,TURF,G2,2,2,2021100002,ミドリノカゼ,牝,2021,鈴木 花子,55.0,8,0.25,0.15,0.65
サンプルステークス,2026-06-14,東京,2000,TURF,G2,3,3,2021100003,クロガネオー,牡,2020,佐藤 健,57.0,20,0.20,0.18,0.55
サンプルステークス,2026-06-14,東京,2000,TURF,G2,4,4,2021100004,ハルカナタビ,セ,2021,高橋 大輔,56.0,15,0.13,0.10,0.50
サンプルステークス,2026-06-14,東京,2000,TURF,G2,5,5,2021100005,ソラノイチバン,牡,2022,伊藤 翼,55.0,5,0.40,0.12,0.70
サンプルステークス,2026-06-14,東京,2000,TURF,G2,6,6,2021100006,ユウヒノオカ,牝,2021,渡辺 美咲,55.0,10,0.10,0.08,0.45
サンプルステークス,2026-06-14,東京,2000,TURF,G2,7,7,2021100007,カミナリゴロ,牡,2020,中村 駿,58.0,18,0.17,0.22,0.60
サンプルステークス,2026-06-14,東京,2000,TURF,G2,8,8,2021100008,シズカナウミ,牝,2022,小林 蓮,54.0,6,0.17,0.09,0.40
ミッドサマーカップ,2026-06-21,中山,1800,DIRT,OP,1,1,2020200011,スナアラシ,牡,2020,佐藤 健,57.0,22,0.27,0.18,0.75
ミッドサマーカップ,2026-06-21,中山,1800,DIRT,OP,2,2,2020200012,ヨアケノホシ,牡,2021,伊藤 翼,56.0,9,0.22,0.12,0.60
ミッドサマーカップ,2026-06-21,中山,1800,DIRT,OP,3,3,2020200013,ダイチノメグミ,牝,2021,鈴木 花子,55.0,14,0.14,0.15,0.50
ミッドサマーカップ,2026-06-21,中山,1800,DIRT,OP,4,4,2020200014,ホノオノツルギ,牡,2020,田中 一郎,57.0,19,0.21,0.21,0.68
ミッドサマーカップ,2026-06-21,中山,1800,DIRT,OP,5,5,2020200015,シロガネノカゼ,セ,2021,高橋 大輔,56.0,11,0.18,0.10,0.55
ミッドサマーカップ,2026-06-21,中山,1800,DIRT,OP,6,6,2020200016,ツキノウサギ,牝,2022,渡辺 美咲,54.0,7,0.29,0.08,0.62
ミッドサマーカップ,2026-06-21,中山,1800,DIRT,OP,7,7,2020200017,オオゾラヘ,牡,2020,中村 駿,58.0,25,0.16,0.22,0.58
ミッドサマーカップ,2026-06-21,中山,1800,DIRT,OP,8,8,2020200018,シンリンノオウ,牡,2021,小林 蓮,56.0,13,0.23,0.09,0.66
